19:22:31.753 INFO (Entity.java:228) Table feed_info was missing but it is not required.
19:22:31.753 INFO (GTFSFeed.java:90) Feed ID is undefined.
19:22:31.753 INFO (GTFSFeed.java:92) Feed ID is 'null'.
19:22:31.753 INFO (Entity.java:232) Loading GTFS table agency from agency.txt
19:22:31.754 INFO (Entity.java:228) Table calendar was missing but it is not required.
19:22:31.754 INFO (Entity.java:232) Loading GTFS table calendar_dates from calendar_dates.txt
19:22:31.814 INFO (Entity.java:228) Table fare_attributes was missing but it is not required.
19:22:31.814 INFO (Entity.java:228) Table fare_rules was missing but it is not required.
19:22:31.814 INFO (Entity.java:232) Loading GTFS table routes from routes.txt
19:22:31.825 INFO (Entity.java:232) Loading GTFS table shapes from shapes.txt
19:22:33,202 ERROR ~ DB transaction left unclosed, this signifies a memory leak!
19:22:33,204 ERROR ~ DB transaction left unclosed, this signifies a memory leak!
19:22:33,204 ERROR ~ DB transaction left unclosed, this signifies a memory leak!
19:22:35.420 INFO (Entity.java:240) Record number 500.0k
19:22:37.788 INFO (Entity.java:232) Loading GTFS table stops from stops.txt
19:22:37.861 INFO (Entity.java:228) Table transfers was missing but it is not required.
19:22:37.861 INFO (Entity.java:232) Loading GTFS table trips from trips.txt
19:22:37.987 INFO (Entity.java:228) Table frequencies was missing but it is not required.
19:22:37.988 INFO (Entity.java:232) Loading GTFS table stop_times from stop_times.txt
19:22:43.060 INFO (Entity.java:240) Record number 500.0k
19:22:45.374 INFO (Entity.java:240) Record number 1.0M
19:22:47.922 INFO (Entity.java:240) Record number 1.5M
19:22:50.381 INFO (GTFSFeed.java:105) 0 errors
19:22:50,382 INFO  ~ GtfsImporter: importing agencies...
19:23:16,482 WARN  ~ Shape dist traveled past end of shape, was 5919.1350857985435, expected max 5919.1350857985435, clamping
19:23:16,660 INFO  ~ Fixed 59 / 64 stops after first round for trip pattern 8583edf2-3565-4332-a2b0-52ca389ba16a (TYSONS CORNER STATION) on route 29d0d9cd-8b58-47e5-af03-4a42f14048a6
19:23:16,853 INFO  ~ Fixed 45 / 60 stops after first round for trip pattern aeeb48d8-a794-46a5-80d9-66b5bb8c00f0 (GREENBELT STATION) on route a97908e6-8312-4006-9fb4-2f979ee12dbf
19:23:16,891 INFO  ~ Fixed 17 / 19 stops after first round for trip pattern 7ae85eb1-d316-4f8a-bfbe-a0760e718cc4 (STANTON RD) on route ed0a7b2e-0a1e-41ce-810a-eb7584f52ac8
19:23:16,964 INFO  ~ Loaded 1000 / 49539 trips
19:23:17,297 INFO  ~ Fixed 60 / 76 stops after first round for trip pattern bb651bb1-82fd-418f-a5f3-b0080d4cdb2c (CALVERTON) on route e4394d64-dd3c-479a-b34e-4c4ee8abb7cc
19:23:17,303 WARN  ~ Shape dist traveled past end of shape, was 28955.855888317234, expected max 28955.855888317234, clamping
19:23:17,451 INFO  ~ Fixed 32 / 40 stops after first round for trip pattern a40807a5-15ca-4b5b-aa43-6cd7cf61731b (POTOMAC PARK) on route aae049d7-e693-4765-9063-26a549165df9
19:23:18,405 INFO  ~ Fixed 104 / 137 stops after first round for trip pattern 1c9c515c-9c4f-4fae-8728-408b2b683dee (BOWIE STATE UNIVERSITY) on route 60f41c92-901d-42cf-89b3-c45c68fe485b
19:23:18,474 INFO  ~ Fixed 13 / 13 stops after first round for trip pattern 0e387ffc-6d38-4f63-a41e-04859f0f3aa9 (GLENMONT) on route 675d11b4-e400-4c17-9a72-b1b3ace62d85
19:23:18,644 INFO  ~ Fixed 59 / 71 stops after first round for trip pattern be8ff3e0-affa-4ff8-8748-3dd548da96cc (SILVER SPRING STATION) on route 2a6ae91c-d592-450c-b420-c080d4c48ece
19:23:18,871 INFO  ~ Fixed 43 / 46 stops after first round for trip pattern 24180711-a0cc-4bcb-b4ea-4a63324b4e80 (FORT DRUM) on route ad8ce697-0f83-4043-aa4f-4e10ec55857f
19:23:18,957 INFO  ~ Fixed 33 / 36 stops after first round for trip pattern f992acf5-0fc0-4f34-af0d-b716d104dfa5 (NAVY YARD - BALLPARK STATION) on route bb8a0a52-fbee-43e4-9e81-2cf94df3f324
19:23:19,072 INFO  ~ Fixed 37 / 41 stops after first round for trip pattern 7dffdaeb-90b8-47de-bc03-b76b17a4ac83 (NAYLOR RD STATION) on route 0913edda-4110-44a0-a9a5-d4485ea64f88
19:23:19,102 INFO  ~ Fixed 17 / 21 stops after first round for trip pattern ec0a9c2a-da7f-4ae9-8b72-f8af437fcb2c (TENLEYTOWN STATION) on route 9b478bcf-d7ac-4d9a-9c4d-02bff9b56aca
19:23:19,118 WARN  ~ Unable to tell if shape is backwards for trip pattern df880111-62ef-4c9f-a45a-702fd1fb322d (ANACOSTIA STATION) on route 58734787-ac66-4da4-bc4b-ee3f043aebbb, assuming it is correct
19:23:19,119 INFO  ~ Fixed 2 / 2 stops after first round for trip pattern df880111-62ef-4c9f-a45a-702fd1fb322d (ANACOSTIA STATION) on route 58734787-ac66-4da4-bc4b-ee3f043aebbb
19:23:19,186 INFO  ~ Fixed 34 / 41 stops after first round for trip pattern 4c116577-8642-4659-bbac-e2582006bde7 (ANACOSTIA STATION) on route 2a768143-d6a0-4e63-9c7f-e0ef651fa5fc
19:23:19,385 INFO  ~ Fixed 28 / 42 stops after first round for trip pattern 5b60f7db-c513-4598-905b-bea51e67a399 (EAST KETTERING) on route ff2c741b-372b-4805-ba9d-5c3f0471c36a
19:23:19,387 WARN  ~ Shape dist traveled past end of shape, was 14765.593284426734, expected max 14765.593284426734, clamping
19:23:19,388 WARN  ~ Shape dist traveled past end of shape, was 14765.593284426734, expected max 14765.593284426734, clamping
19:23:19,388 WARN  ~ Shape dist traveled past end of shape, was 14765.593284426734, expected max 14765.593284426734, clamping
19:23:19,388 WARN  ~ Shape dist traveled past end of shape, was 14765.593284426734, expected max 14765.593284426734, clamping
19:23:19,454 INFO  ~ Fixed 29 / 32 stops after first round for trip pattern e7a43c85-9f49-4a9b-880d-78a54598cd2d (MINNESOTA AVE STATION) on route 6f30b764-60b4-48e1-9ead-8e3a8a246b78
19:23:19,763 INFO  ~ Fixed 45 / 58 stops after first round for trip pattern 4eef5f82-b2b3-47df-949c-537de886d62a (CONGRESS HEIGHTS STATION) on route e7f294ca-3a9a-4ca5-bc26-264c7904b7ee
19:23:20,159 INFO  ~ Fixed 52 / 63 stops after first round for trip pattern 99122430-c917-409a-8ce1-9556421bd701 (NEW CARROLLTON STATION) on route ef580214-561e-4e5e-96ae-9fc8dc37cd6e
19:23:20,241 INFO  ~ Fixed 35 / 40 stops after first round for trip pattern 23757041-e76f-46a2-b4a7-a48cdbf1fc06 (ANACOSTIA STATION) on route 2a768143-d6a0-4e63-9c7f-e0ef651fa5fc
19:23:20,290 INFO  ~ Fixed 19 / 22 stops after first round for trip pattern 312598ea-e4e6-4a67-b02e-c3bb235801c5 (CONVENTION CENTER) on route 79d84329-0fae-4821-a978-5ddc0bda267e
19:23:20,333 INFO  ~ Loaded 2000 / 49539 trips
19:23:20,413 INFO  ~ Fixed 11 / 25 stops after first round for trip pattern b8f13495-89fd-47af-b47e-20b613bc6544 (LANDMARK) on route 69a5b631-8444-44f9-8e14-4bb954e52aed
19:23:20,508 INFO  ~ Fixed 36 / 42 stops after first round for trip pattern 636d4ff3-36ab-4ec1-b139-8c809f90d453 (BROOKLAND STATION) on route 4599756f-bb6a-4622-a4af-0874c52c611d
19:23:20,594 INFO  ~ Fixed 27 / 27 stops after first round for trip pattern 6eee03c4-cfc1-4a09-adc9-dd667c551d78 (SHADY GROVE) on route 675d11b4-e400-4c17-9a72-b1b3ace62d85
19:23:21,042 INFO  ~ Fixed 61 / 70 stops after first round for trip pattern eb6d011d-114c-485b-b0cc-cd165eae1d98 (TWINBROOK STATION) on route 454054fe-da87-4295-b6ff-4033e23b8afa
19:23:21,270 INFO  ~ Fixed 10 / 12 stops after first round for trip pattern efc8f739-3faf-4896-bd0b-97565bb6fdc7 (FORT TOTTEN) on route 703d5e5e-9a16-41af-941c-59be7bc68564
19:23:21,385 INFO  ~ Fixed 46 / 51 stops after first round for trip pattern 80179879-c2b1-491d-a451-907bb935298a (ARCHIVES) on route c96fd764-de91-4074-8478-c74959370f22
19:23:21,507 INFO  ~ Fixed 46 / 55 stops after first round for trip pattern aa1b9a82-e033-493f-840a-10948da1ee3d (REEVES CENTER - 14TH & U NW) on route e7f294ca-3a9a-4ca5-bc26-264c7904b7ee
19:23:21,508 WARN  ~ Shape dist traveled past end of shape, was 13373.560669730285, expected max 13373.560669730285, clamping
19:23:21,572 INFO  ~ Loaded 3000 / 49539 trips
19:23:21,761 INFO  ~ Fixed 29 / 33 stops after first round for trip pattern 4046fdb9-9f29-4af4-9ab3-58255329e725 (SUITLAND STATION) on route 9ae6bf06-cdd6-4556-a3c0-defc7421df55
19:23:21,843 INFO  ~ Fixed 42 / 46 stops after first round for trip pattern 9de16ad2-d98d-4204-941c-8ba54fb77eb8 (ROSSLYN) on route a35431aa-0ea9-42c6-975a-eedfc757a7c5
19:23:21,884 INFO  ~ Fixed 19 / 26 stops after first round for trip pattern 7264d5a1-4da6-474a-8de2-94c296f38516 (RHODE ISLAND AVE STATION) on route dabee5cc-3a9a-4760-ac59-37b0f52d6756
19:23:21,961 INFO  ~ Fixed 31 / 36 stops after first round for trip pattern 4a537c5c-f4df-4c11-8fff-a5980ca02a66 (BALLSTON STATION) on route 63a212ee-0a3c-4502-b190-2b4248de5422
19:23:21,962 WARN  ~ Shape dist traveled past end of shape, was 15067.86713736831, expected max 15067.86713736831, clamping
19:23:22,042 INFO  ~ Fixed 16 / 17 stops after first round for trip pattern 9fab89c1-a0e1-46b2-a0d2-c8a1415b8eca (SOUTHERN TOWERS) on route 0c93e3e1-364d-49b4-8a90-a429b50f590c
19:23:22,124 INFO  ~ Fixed 34 / 40 stops after first round for trip pattern 8f1ebc4a-54e7-40ab-b03b-ab21f3b3e5df (CULMORE) on route 1fe187b4-98d6-4f56-8179-bd5da929aeb9
19:23:22,147 INFO  ~ Fixed 18 / 20 stops after first round for trip pattern 05c696f1-ee59-458b-a2b7-8031063ece06 (FORT LINCOLN) on route 777bdadf-f8c6-4335-86fc-fa1953d1afd1
19:23:22,203 INFO  ~ Fixed 24 / 25 stops after first round for trip pattern 1ad7c768-0250-492b-80fb-cf082badbcef (LAKECREST DRIVE) on route d4834b02-dbe9-4b55-9e7c-8ff78362f23c
19:23:22,360 INFO  ~ Fixed 43 / 51 stops after first round for trip pattern 3958eb48-8439-416c-8a7a-7941ebeab290 (LAUREL) on route 1f05e5a6-9758-4d53-af38-3902b65ff3f8
19:23:22,452 INFO  ~ Fixed 43 / 47 stops after first round for trip pattern 5993d5b6-672e-4de8-9ae9-bd5a34c8805b (SHADY GROVE STATION) on route c0a7b3d8-f408-49a9-9dca-0b2b9f497db5
19:23:22,619 INFO  ~ Fixed 47 / 61 stops after first round for trip pattern 3851f9b0-66b4-440e-8e3b-adb272ba4d69 (GEORGIA AVE-ICC PARK & RIDE) on route 28a882a6-86ff-42c8-962c-74bae51a5f7a
19:23:22,746 INFO  ~ Fixed 45 / 49 stops after first round for trip pattern ed202345-4e74-40b0-8eec-5460b7d70d13 (POTOMAC PARK) on route e111dc16-2c0c-41a3-8011-b9a1883364e6
19:23:22,837 INFO  ~ Fixed 33 / 40 stops after first round for trip pattern 6d1d144e-68db-44e8-b078-c340211d5647 (CULMORE) on route 1fe187b4-98d6-4f56-8179-bd5da929aeb9
19:23:22,838 WARN  ~ Shape dist traveled past end of shape, was 12792.713746228801, expected max 12792.713746228801, clamping
19:23:22,838 WARN  ~ Shape dist traveled past end of shape, was 12792.713746228801, expected max 12792.713746228801, clamping
19:23:22,839 WARN  ~ Shape dist traveled past end of shape, was 12792.713746228801, expected max 12792.713746228801, clamping
19:23:22,990 INFO  ~ Fixed 49 / 60 stops after first round for trip pattern 33846399-4e96-4b4e-a25f-d9ae6dc1094a (SILVER SPRING STATION) on route 28a882a6-86ff-42c8-962c-74bae51a5f7a
19:23:23,436 INFO  ~ Fixed 72 / 83 stops after first round for trip pattern f43fd0c1-061d-416e-8034-4df9cb5d4e3a (SILVER SPRING STATION) on route fb407bda-3288-4ad8-875e-4163cc1a8c0b
19:23:23,436 WARN  ~ Two stops on trip pattern f43fd0c1-061d-416e-8034-4df9cb5d4e3a map to same point on shape
19:23:23,462 INFO  ~ Fixed 15 / 16 stops after first round for trip pattern 27d3ec5c-81e5-46c1-a84d-13e7407ead27 (FORT TOTTEN STATION) on route 3941dc9d-c968-4301-9df4-e7224fc84109
19:23:23,552 INFO  ~ Fixed 43 / 49 stops after first round for trip pattern 47f8c95c-26b0-42ab-86e3-06af79ecbcdb (DUNN LORING STATION) on route 76167b87-87a3-4477-abeb-9dede58ed104
19:23:23,960 INFO  ~ Fixed 74 / 82 stops after first round for trip pattern 8b86a891-ca1b-4f72-9036-a4330fbbd149 (SILVER SPRING STATION) on route fb407bda-3288-4ad8-875e-4163cc1a8c0b
19:23:23,960 WARN  ~ Two stops on trip pattern 8b86a891-ca1b-4f72-9036-a4330fbbd149 map to same point on shape
19:23:23,991 INFO  ~ Fixed 9 / 13 stops after first round for trip pattern 6223e8bf-5f9e-4c44-b71a-6eeef525e9c6 (MCPHERSON SQUARE) on route f85fc952-8ec2-44c0-aa40-a0a49a954224
19:23:24,081 INFO  ~ Fixed 40 / 51 stops after first round for trip pattern ebbc8555-7655-401b-834c-18e050fee8e4 (HUNTING POINT) on route df81eb66-647b-4d15-ac69-9cb5be28dc04
19:23:24,185 INFO  ~ Fixed 22 / 23 stops after first round for trip pattern 82d9f248-eea3-4338-a1e0-55e258f0e540 (PENTAGON) on route a2ac05f2-fefd-45c1-8816-d668f6a4df9a
19:23:24,324 INFO  ~ Fixed 48 / 59 stops after first round for trip pattern cf7df4fb-a848-4fb7-b193-e10047b6db54 (L'ENFANT PLAZA STATION) on route 64c68e09-196c-4802-a5aa-96fed484b3fe
19:23:24,582 INFO  ~ Fixed 62 / 74 stops after first round for trip pattern 250acf5d-3c75-4d7c-b8ba-3dd310531bf2 (TENLEYTOWN STATION) on route a92ae21c-9adf-4fa1-b4ca-141eb353aca7
19:23:24,774 INFO  ~ Fixed 32 / 35 stops after first round for trip pattern eecd5765-dfc8-474e-a0e0-49eb5725d96e (N V C C - ALEXANDRIA) on route a5b513fd-d5de-41fa-90c1-a27e84948367
19:23:24,789 INFO  ~ Fixed 13 / 13 stops after first round for trip pattern bbd7d375-1008-4fa5-893a-a5e022047ed1 (POTOMAC AVE/SKYLAND) on route b9eacd9b-e7a3-479e-97ee-53ec36b85c6f
19:23:24,823 INFO  ~ Loaded 4000 / 49539 trips
19:23:24,846 INFO  ~ Fixed 4 / 6 stops after first round for trip pattern 008d5f17-1119-4206-b752-9b9628e3b23f (S91 - FRANCONIA - SPRINGFIELD TOWN CENTER SHUTTLE) on route 6fdf840e-379e-41ff-878d-944555204cb1
19:23:24,846 WARN  ~ Shape dist traveled past end of shape, was 3197.8222068136874, expected max 3197.8222068136874, clamping
19:23:24,910 INFO  ~ Fixed 29 / 36 stops after first round for trip pattern 9827024a-6e32-4492-b3e2-a54175330522 (FRIENDSHIP HEIGHTS STATION) on route a3ac06f6-c66a-480c-b35f-1ee7a04e84f2
19:23:24,911 WARN  ~ Shape dist traveled past end of shape, was 11017.262662310053, expected max 11017.262662310053, clamping
19:23:25,005 INFO  ~ Fixed 32 / 40 stops after first round for trip pattern 5b352e56-b33a-420d-8b4f-657a78c98ea2 (MT PLEASANT) on route 1263c8ee-2585-4e34-a00b-d13d48835036
19:23:25,046 INFO  ~ Fixed 13 / 13 stops after first round for trip pattern da78438c-0921-4e0f-a24c-c8f17012b5ea (METRO CENTER) on route 675d11b4-e400-4c17-9a72-b1b3ace62d85
19:23:25,131 INFO  ~ Fixed 26 / 40 stops after first round for trip pattern b0784c97-6af3-4b99-b762-8ee7553f2a09 (BRANCH AVE STATION) on route 21c9e6b5-0d2b-4611-a2f7-15fbc345cda7
19:23:25,136 WARN  ~ Shape dist traveled past end of shape, was 13773.275099342754, expected max 13773.275099342754, clamping
19:23:25,389 INFO  ~ Fixed 64 / 81 stops after first round for trip pattern 0aae9cb2-3047-4a17-a010-ba881943a20e (SIBLEY HOSPITAL) on route 7aa38cc7-98c4-4b5d-a39b-4f947c09c1c6
19:23:25,392 WARN  ~ Shape dist traveled past end of shape, was 18915.488614088405, expected max 18915.488614088405, clamping
19:23:25,392 WARN  ~ Shape dist traveled past end of shape, was 18915.488614088405, expected max 18915.488614088405, clamping
19:23:25,392 WARN  ~ Shape dist traveled past end of shape, was 18915.488614088405, expected max 18915.488614088405, clamping
19:23:25,392 WARN  ~ Shape dist traveled past end of shape, was 18915.488614088405, expected max 18915.488614088405, clamping
19:23:25,539 INFO  ~ Fixed 6 / 8 stops after first round for trip pattern e8bd7830-dcc5-4c27-b00e-1ecb1b151abd (SUITLAND STATION) on route 2625d9e9-2422-4671-a9cc-f0fc525798dd
19:23:25,539 WARN  ~ Shape dist traveled past end of shape, was 2452.4201577725644, expected max 2452.4201577725644, clamping
19:23:25,705 INFO  ~ Fixed 18 / 43 stops after first round for trip pattern ae824063-86ed-425b-a1ff-c4552ce40aaf (BROOKLAND STATION) on route 777bdadf-f8c6-4335-86fc-fa1953d1afd1
19:23:25,758 INFO  ~ Fixed 27 / 27 stops after first round for trip pattern 32c006c6-12a0-41fe-81bf-ab69f5b2f551 (GLENMONT) on route 675d11b4-e400-4c17-9a72-b1b3ace62d85
19:23:26,305 INFO  ~ Fixed 72 / 82 stops after first round for trip pattern b1930d08-57e4-4488-9392-4bd8d80af99e (NEW CARROLLTON STATION) on route ee2a0d70-a69f-4771-b342-1467384b77af
19:23:26,413 INFO  ~ Fixed 36 / 40 stops after first round for trip pattern c02021b4-89a2-4368-8a05-e8f6b6d1bfdc (NORTH SPRINGFIELD) on route 56bdb1c4-1ccd-4ef4-840e-c93453c6ad86
19:23:26,481 INFO  ~ Fixed 10 / 26 stops after first round for trip pattern a22393d7-36a2-47f7-ab9e-40de59fd96f4 (NAYLOR RD STATION) on route 299deeb5-5b28-4394-80d1-6f386ce38cd8
19:23:26,789 INFO  ~ Fixed 36 / 49 stops after first round for trip pattern f8729498-726c-48fb-9b7f-a49cda9b7d9b (PENTAGON) on route 486ff1f6-e28e-40f1-ae5d-2cbe7bd020dd
19:23:26,818 INFO  ~ Fixed 13 / 17 stops after first round for trip pattern 2be791b2-b061-4d3e-bc6e-f3e3da402e10 (UNION STATION) on route a2153d4c-a8f5-4973-a3fa-259d0e7c9bbe
19:23:26,829 INFO  ~ Loaded 5000 / 49539 trips
19:23:26,906 INFO  ~ Fixed 25 / 37 stops after first round for trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 (ANACOSTIA STATION) on route 74cdc692-18e0-434d-aaf6-8313c3424e07
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:26,906 WARN  ~ Two stops on trip pattern 85830109-26cc-49d7-ba23-ea41d65f5939 map to same point on shape
19:23:27,011 INFO  ~ Fixed 43 / 49 stops after first round for trip pattern 20e2382d-de56-4bbb-b7d7-4d19d7eba0c0 (FRIENDLY) on route 112478fe-86cf-4dff-a9b4-035975aa883c
19:23:27,238 INFO  ~ Fixed 58 / 67 stops after first round for trip pattern 9ba9f818-9ccd-42ac-9240-d6bb76ba327a (BALLSTON) on route fa179c2a-b025-41ae-94e8-b3dc257a17e7
19:23:27,307 INFO  ~ Fixed 26 / 37 stops after first round for trip pattern 6a40426c-0fee-4c7f-8669-ec8480d5da7a (FORT TOTTEN) on route 50c1edad-36dd-4c6c-9609-f75cbc24e66e
19:23:27,498 INFO  ~ Fixed 46 / 62 stops after first round for trip pattern a5b66f85-aa96-40af-af8b-b8ad33c0a0f6 (TAKOMA STATION) on route c9fc83e7-760f-4a2a-b282-5b459887a9c5
19:23:27,650 WARN  ~ Stop is more than 1km from its shape, using straight-line distances
19:23:27,663 INFO  ~ Fixed 21 / 21 stops after first round for trip pattern b1d9669c-c2fa-4261-b263-acb89847c58b (BRANCH AVE) on route a12e9283-0c0c-4834-aa9f-d0eac26bb519
19:23:27,944 INFO  ~ Fixed 31 / 42 stops after first round for trip pattern 952af6d1-7d07-4c09-b5e3-5bee98c6e3fc (14TH & COLORADO) on route c9fc83e7-760f-4a2a-b282-5b459887a9c5
19:23:28,099 INFO  ~ Fixed 26 / 31 stops after first round for trip pattern 68b228d1-4d12-41d0-b816-db32546acf36 (FORT TOTTEN) on route ee2a0d70-a69f-4771-b342-1467384b77af
19:23:28,201 INFO  ~ Fixed 47 / 53 stops after first round for trip pattern 11b57e76-591f-4025-bc6c-06f8f1ff8cd9 (RHODE ISLAND AVE STATION) on route 4a537ff7-3d11-4e37-9535-7de9296bd8a8
19:23:28,202 WARN  ~ Shape dist traveled past end of shape, was 14022.531465207501, expected max 14022.531465207501, clamping
19:23:28,202 WARN  ~ Shape dist traveled past end of shape, was 14022.531465207501, expected max 14022.531465207501, clamping
19:23:28,305 INFO  ~ Loaded 6000 / 49539 trips
19:23:28,462 INFO  ~ Fixed 52 / 62 stops after first round for trip pattern a4768750-557b-44b7-840b-2cac079adbe8 (STADIUM - ARMORY) on route a92ae21c-9adf-4fa1-b4ca-141eb353aca7
19:23:28,497 INFO  ~ Fixed 13 / 18 stops after first round for trip pattern d061ba39-cb6d-44d3-942d-f4ff26dd0058 (14TH & P NW) on route 4761f0cd-092e-4c7b-9b40-fa35356f13b8
